文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"但坚强的老汉无法忍受这个生活的惩戒，他仍然把纸烟的烟丝倒出来，装上一类似烟叶的东西，一本正经地在抽。", " 但坚强的老汉无法忍受这个生活的惩戒 他仍把烟纸倒出来 装上一类似烟叶的东西，一本正经地在抽", 3, 0.913, 1.0, "然 丝", "", 46
"从读者已渐渐开始淡漠甚至远离这些高深理论和玄奥作品的态度，就应该引起我们郑重思考。", " 从读者已经渐渐开始冷落，甚至远离这些高深理论和玄奥作品的态度，就应该引起我们郑重思考。", 1, 0.949, 0.925, "淡 漠", "经 冷 落", 39
"从读者已渐渐开始淡漠甚至远离这些高深理论和玄奥作品的态度，就应该引起我们郑重思考。", "从读者开始渐渐淡漠，甚至远离这些高深理论和玄奥作品的态度，就应该引起我们郑重的思考。", 2, 1.0, 1.0, "已", "", 39
"为此，我准备了近两年，思想和艺术考虑备受折磨；而终于穿过障碍进入实际表现的时候，精神真正达到了忘乎所以。", " 为此，我准备了两年精神和艺术态度备受折磨，而当我穿过障碍而进入实际表现的时候，我的精神真正达到了忘乎所以。", 1, 0.979, 0.939, "近 思 想 考 虑 终 于", "态 度 当", 47
"为此，我准备了近两年，思想和艺术考虑备受折磨；而终于穿过障碍进入实际表现的时候，精神真正达到了忘乎所以。", " 为此，我准备了近两年 思想和艺术态度备受折磨，而终于穿过最终障碍而进入实际表现的时候 精神真正达到了忘乎所以", 2, 1.0, 0.94, "考 虑", "态 度 最", 47
"大胆前进，小心前进，在编织的每一天细线挽结每一个环扣的时候，都要看见整个那张大网。", "大胆地前进 小心地前进 在细线编织的每一天绕过每一个环扣的时候 都要看到那张大网", 1, 0.865, 0.865, "挽 结 见 整", "地 地 绕 过 到", 37
"大胆前进，小心前进，在编织的每一天细线挽结每一个环扣的时候，都要看见整个那张大网。", " 大胆前进，小心前进在编织过程中细线挽过每个环扣的时候都要能够看见整张大网", 2, 0.784, 0.829, "一 天 结 一 那", "过 程 中 过 能 够", 37
"大胆前进，小心前进，在编织的每一天细线挽结每一个环扣的时候，都要看见整个那张大网。", " 大胆前进，小心前进，在编织的每一天细线挽结过每个环扣的时候都要能够看见那个整张大网。", 3, 0.973, 0.923, "", "过 能 够", 37
"每天傍晚抬起头来，总会如期地看见窗外又红又大的落日在远方沙漠中下沉。", " 每天傍晚抬起头来都会如期地看见那又红又大的落日在远方沙漠中下沉。", 1, 0.906, 0.935, "总 窗 外", "都 那", 32
"每天傍晚抬起头来，总会如期地看见窗外又红又大的落日在远方沙漠中下沉。", " 每天傍晚抬起头来总会看见窗外那又红又大的落日在远方沙漠中下沉。", 2, 0.906, 0.967, "如 期 地", "那", 32
"每天傍晚抬起头来，总会如期地看见窗外又红又大的落日在远方沙漠中下沉。", " 每当傍晚抬起头来总会如期的看见窗外那又红又大的落日在远方的沙漠中下沉。", 3, 1.0, 0.941, "天 地", "当 那", 32
"孤立有时候不会让人变得软弱，甚至可以使人的精神更强大，更振奋。", " 孤立有时候不会让人变得软弱，甚至让人的精神，更强大更振奋。", 1, 0.929, 1.0, "可 以 使", "", 28
"孤立有时候不会让人变得软弱，甚至可以使人的精神更强大，更振奋。", " 孤立有时候不会让人变得更软弱，会使人的精神变得更强大更振奋。", 2, 1.0, 1.0, "甚 至 可 以", "", 28
"孤立有时候不会让人变得软弱，甚至可以使人的精神更强大，更振奋。", " 孤立有时候不会使人的精神，更软弱，甚至可以使人的精神，更强大更振奋。", 3, 1.071, 1.0, "让 变 得", "", 28
"只好带着可亲而不近的深深遗憾，无限眷恋地瞥一眼外面金黄灿烂的阳光，然后在心灵中抹掉它，继续埋下头来，全神贯注投入这苦役般的工作。", "只好带着可亲而不近的深深遗憾 无限眷恋的撇一眼那金黄灿烂的阳光，然后在心灵中抹去他 继续手中的工作 全神贯注投入这苦役一般的工作", 1, 0.932, 0.917, "地 瞥 外 面 掉 它 埋 下 头 来", "撇 那 去 他 手", 59
"只好带着可亲而不近的深深遗憾，无限眷恋地瞥一眼外面金黄灿烂的阳光，然后在心灵中抹掉它，继续埋下头来，全神贯注投入这苦役般的工作。", "于是只好带着可亲而不近的深深遗憾 向外面瞥一眼金黄灿烂的阳光 然后把他从心灵抹去 继续埋下头来 全神贯注投入这苦役般的工作", 2, 0.847, 0.877, "无 限 眷 恋 地 在 中 掉 它", "于 是 向 把 他 从 去", 59
"只好带着可亲而不近的深深遗憾，无限眷恋地瞥一眼外面金黄灿烂的阳光，然后在心灵中抹掉它，继续埋下头来，全神贯注投入这苦役般的工作。", "只好带着可亲而不近的深深遗憾 无限眷恋地向窗外瞥一眼金黄灿烂的阳光 然后在心灵中抹去它 继续埋头下去 全神贯注投入这苦役般的工作", 3, 0.949, 0.933, "面 掉 来", "向 窗 去 去", 59
"在我看来，在长卷作品中，所有的人物应该尽可能早地出场，以便有足够的长度完成他们。", "在我看来在长卷作品中，所有人物应该尽早地出场，以便有足够长的篇幅去完成他们。", 1, 0.889, 0.914, "可 能 度", "篇 幅 去", 36
"在我看来，在长卷作品中，所有的人物应该尽可能早地出场，以便有足够的长度完成他们。", " 在我看来在长卷作品中，所有的人物应该尽可能早地出场，以便有足够的长度去完成他们。", 2, 1.0, 0.973, "", "去", 36
"繁华热闹的街道，无论物还是人，都会给你提供大量的信息，给你许多启示和灵感。", " 繁华热闹的街道，无论是物还是人都会给你许多信息给你启发很多灵感。\", 1, 0.848, 0.933, "提 供 大 量 示 和", "发 很", 33
"繁华热闹的街道，无论物还是人，都会给你提供大量的信息，给你许多启示和灵感。", " 繁华热闹的街道，无论物还是人都会给你提供大量的信息，给你许多启示和灵感。", 2, 1.0, 1.0, "", "", 33
"这样，从感情上说，广大的“农村人”就是我们的兄弟姐妹，我们也就能出自真心理解他们的处境和痛苦，而不是优越而痛快地只顾指责甚至嘲弄丑化他们——就像某些发达国家对待不发达国家一样。", " 这样从感情上来说 广大的农村人民也是我们的兄弟姐妹，我们应该去理解他们的处境和痛苦，而不是一味优越高贵地指责嘲弄丑化他们 就像某些发达国家对不发达国家一样。", 1, 0.823, 0.89, "能 出 自 真 心 快 只 顾 甚 至 待", "来 民 应 该 去 味 高 贵", 79
"这样，从感情上说，广大的“农村人”就是我们的兄弟姐妹，我们也就能出自真心理解他们的处境和痛苦，而不是优越而痛快地只顾指责甚至嘲弄丑化他们——就像某些发达国家对待不发达国家一样。", " 这样从感情上说，这些广大的农村人也是我们的兄弟姐妹，我们应该出自真心的去理解他们的处境和痛苦，而不是傲慢痛快的去，指责他们甚至嘲弄丑化他们 就像某些发达国家对不发达国家一样。", 2, 0.949, 0.926, "能 优 越 地 只 顾 待", "应 该 去 傲 慢 去", 79
"这样，从感情上说，广大的“农村人”就是我们的兄弟姐妹，我们也就能出自真心理解他们的处境和痛苦，而不是优越而痛快地只顾指责甚至嘲弄丑化他们——就像某些发达国家对待不发达国家一样。", "这样从情感上来说，这些广大的农村人就是我们的兄弟姐妹，我们也能够出自真心的去理解他们的处境和痛苦，而不是优越而痛快的只顾指责他们甚至嘲弄丑化他们 就像某些发达国家对待不发达国家一样。", 3, 1.051, 0.965, "地", "来 够 去", 79
"再一次想起了父亲，想起了父亲和庄稼人的劳动，从早到晚，从春天冬，从生到死，第一次将种子播入土地，一直到把每一颗粮食收回，都是一丝不苟，无怨无悔，兢兢业业，全力以赴，直至完成——用充实的劳动完成自己的生", "再一次想起了自己的父亲从早到晚，从春到冬 从播种每一粒种子 到秋天收货每一粒粮食 都是兢兢业业 无怨无悔 直至完成这一生 --- 用一生去劳动", 1, 0.621, 0.9, "和 庄 稼 人 死 第 将 入 土 地 把 颗 回 丝 不 苟 全 力 以 赴 充 实", "粒 秋 货 粒 这 去", 87
"再一次想起了父亲，想起了父亲和庄稼人的劳动，从早到晚，从春天冬，从生到死，第一次将种子播入土地，一直到把每一颗粮食收回，都是一丝不苟，无怨无悔，兢兢业业，全力以赴，直至完成——用充实的劳动完成自己的生", " 再次想起了我的父亲 想起了父亲和庄稼人的一生, 他们从早到晚 从春到冬 从生到死 从播种每一粒种子到把每一颗粮食收回 都是一丝不苟 兢兢业业 无怨无悔 全力以赴，直至完成--用充实的劳动完成自己的生命", 2, 0.943, 0.943, "天 第 将 入 土 地", "我 他 们 粒 命", 87
"再一次想起了父亲，想起了父亲和庄稼人的劳动，从早到晚，从春天冬，从生到死，第一次将种子播入土地，一直到把每一颗粮食收回，都是一丝不苟，无怨无悔，兢兢业业，全力以赴，直至完成——用充实的劳动完成自己的生", " 我又想起了，我的父亲想起了父亲和庄稼人，他们从早到晚 从春到冬从生到死 从第一次播种到收获，每一颗粮食一直都是一丝不苟兢兢业业无怨无悔 全力以赴，直到完成他们用他们的劳动完成自己的生命。", 3, 0.851, 0.871, "再 天 将 子 入 土 地 把 回 至 充 实", "我 又 我 他 们 获 他 们 他 们 命", 87
"想起了叶赛宁伤感的诗句：“不惋惜，不呼唤，我也不啼哭；金黄色的落叶堆满我心间，我已经再不是青春少年……”", "想起了叶赛宁伤感的诗句 不惋惜 不呼唤 我也不啼哭  我看到金黄色的落叶 因为我已经不是少年", 1, 0.837, 0.9, "堆 满 心 间 再 青 春", "看 到 因 为", 43
"想起了叶赛宁伤感的诗句：“不惋惜，不呼唤，我也不啼哭；金黄色的落叶堆满我心间，我已经再不是青春少年……”", "想起了叶赛宁的诗句 不惋惜 不呼唤 不啼哭 金黄色的落叶堆满我心间 我已经再不是青春少年", 2, 0.907, 1.0, "伤 感 也", "", 43
"一座建筑物的成功，不仅在总体上在大的方面应有创造性和想象力，其间的一砖一瓦都应一丝不苟，在任何一个微小的地方都力尽所能，而绝不能自欺欺人。", " 一座建筑物的成功，绝不只是在大的方面有想象力和创造力 一砖一瓦都应该一丝不苟 在任何一个微小的地方，都应该力尽所能 决不能自欺欺人。", 1, 0.859, 0.917, "仅 总 体 上 性 其 间 而", "只 是 该 该 决", 64
"一座建筑物的成功，不仅在总体上在大的方面应有创造性和想象力，其间的一砖一瓦都应一丝不苟，在任何一个微小的地方都力尽所能，而绝不能自欺欺人。", " 一座建筑物的成功 不仅要能在大的方面有创造性和想象力 其间的一砖一瓦都应该一丝不苟 任何一个微小的事物，都应该力尽所能决不能自欺欺人。", 2, 0.891, 0.919, "总 体 上 地 而 绝", "要 该 事 该 决", 64
"一座建筑物的成功，不仅在总体上在大的方面应有创造性和想象力，其间的一砖一瓦都应一丝不苟，在任何一个微小的地方都力尽所能，而绝不能自欺欺人。", " 一个建筑物的成功，不仅在总体上再大的方面有想象力和创造性 一砖一瓦都应一丝不苟 任何一个微小的食物，都应该力尽所能绝不能自欺欺人。", 3, 0.891, 0.95, "座 其 间 地 而", "再 食 该", 64
